region,population,births,deaths
Japan,126085000,1089818,1108334
Hokkaido,5553000,41550,51456
Aomori,1403000,10162,14968
Iwate,1359000,10344,14768
Miyagi,2336000,19810,20347
Akita,1117000,7502,13743
Yamagata,1192000,9139,13242
Fukushima,2057000,17101,21339
Ibaraki,2929000,24829,26244
Tochigi,1985000,17233,18184
Gunma,1980000,16817,18498
Saitama,7003000,60818,50134
Chiba,6019000,51821,45473
Tokyo,12488000,103837,96354
Kanagawa,8754000,79193,61093
Niigata,2394000,18724,25126
Toyama,1093000,8728,11194
Ishikawa,1161000,10294,10717
Fukui,804000,7191,7886
Yamanashi,863000,6988,8347
Nagano,2145000,18618,21910
Gifu,2059000,17696,18910
Shizuoka,3717000,33274,32507
Aichi,7173000,70218,53618
Mie,1831000,15716,17141
Shiga,1369000,13343,10649
Kyoto,2591000,21597,22619
Osaka,8641000,76914,70283
Hyogo,5505000,48685,47877
Nara,1401000,11261,11902
Wakayama,1015000,7689,11256
Tottori,596000,5015,6601
Shimane,726000,5914,8660
Okayama,1935000,17099,18325
Hiroshima,2842000,25887,26070
Yamaguchi,1462000,11714,16736
Tokushima,796000,6011,8484
Kagawa,999000,8701,10428
Ehime,1445000,11753,15427
Kochi,779000,5717,9071
Fukuoka,5016000,46393,43919
Saga,856000,7703,8787
Nagasaki,1447000,12175,15310
Kumamoto,1820000,16307,18375
Oita,1196000,10162,12188
Miyazaki,1139000,10337,11361
Kagoshima,1726000,15090,19493
Okinawa,1366000,16588,9399
