region,population,births,deaths
Japan,126381728,1071305,1197014
Hokkaido,5488092,40158,55404
Aomori,1369629,9712,16030
Iwate,1324924,9745,15756
Miyagi,2335682,19126,21932
Akita,1082603,6688,14288
Yamagata,1162744,8651,14084
Fukushima,2019618,16126,22747
Ibaraki,2929085,23989,28615
Tochigi,1980746,16473,19712
Gunma,1972287,16023,20385
Saitama,7104590,59437,55487
Chiba,6135236,51633,50014
Tokyo,12833956,108135,104238
Kanagawa,8921252,78077,67760
Niigata,2362420,18083,26618
Toyama,1082108,8188,11875
Ishikawa,1159897,9602,11607
Fukui,795496,6874,8417
Yamanashi,850546,6651,9268
Nagano,2122509,17233,23133
Gifu,2043467,16887,20220
Shizuoka,3702776,31896,36420
Aichi,7247125,69872,58477
Mie,1821502,15262,18691
Shiga,1388741,13363,11602
Kyoto,2593340,21234,23714
Osaka,8697550,75080,76556
Hyogo,5507961,47834,51568
Nara,1391395,10694,13036
Wakayama,997305,7587,12049
Tottori,585005,4790,6947
Shimane,712516,5756,9109
Okayama,1926378,16759,20248
Hiroshima,2827820,25546,27561
Yamaguchi,1439011,11551,17646
Tokushima,781300,5904,9307
Kagawa,988786,8397,11064
Ehime,1423425,11427,16344
Kochi,761239,5518,9769
Fukuoka,5030961,46818,46996
Saga,846146,7640,9212
Nagasaki,1420166,12004,16303
Kumamoto,1809626,16246,19219
Oita,1187599,10072,12988
Miyazaki,1131381,10217,12334
Kagoshima,1700683,15124,20294
Okinawa,1385104,17098,10156
