region,population,births,deaths
Japan,126204902,1062530,1083796
Hokkaido,5612068,41420,49982
Aomori,1432727,10524,14882
Iwate,1379659,10545,14638
Miyagi,2348339,19326,19765
Akita,1141865,7697,13061
Yamagata,1209795,9357,13255
Fukushima,2081248,17538,20981
Ibaraki,2937843,24244,25839
Tochigi,1990257,17363,18091
Gunma,1989184,17134,18546
Saitama,6974003,59731,48095
Chiba,5983085,50588,44021
Tokyo,12325038,96542,93599
Kanagawa,8675683,76196,58801
Niigata,2420575,18505,24396
Toyama,1101133,8973,10861
Ishikawa,1166366,10049,10376
Fukui,810772,7148,7772
Yamanashi,870939,7149,8291
Nagano,2161328,18517,21369
Gifu,2070404,17706,18511
Shizuoka,3721561,31908,31747
Aichi,7103849,67110,52536
Mie,1832672,15345,17154
Shiga,1357591,12899,10419
Kyoto,2601322,21560,22134
Osaka,8640236,76111,68648
Hyogo,5504338,47273,46657
Nara,1412450,11184,11880
Wakayama,1030942,7835,11251
Tottori,603156,5012,6303
Shimane,737753,5697,8557
Okayama,1942414,16688,18428
Hiroshima,2849333,24740,25579
Yamaguchi,1480129,11514,16522
Tokushima,805743,5913,8609
Kagawa,1006383,8686,10265
Ehime,1461038,11528,15469
Kochi,793365,5916,9119
Fukuoka,5011273,43421,42675
Saga,863046,7508,8546
Nagasaki,1472955,12148,14866
Kumamoto,1835575,15645,17906
Oita,1202682,9780,12160
Miyazaki,1149818,9738,11167
Kagoshima,1748272,14834,18980
Okinawa,1354695,16115,9021
