region,population,births,deaths
Japan,124218285,918400,1362470
Hokkaido,5253000,32642,64187
Aomori,1258000,7803,17936
Iwate,1234000,7615,17390
Miyagi,2296000,16211,24520
Akita,978000,5040,15434
Yamagata,1083000,6973,15320
Fukushima,1851000,12495,24747
Ibaraki,2829000,19368,32927
Tochigi,1919000,13495,21885
Gunma,1901000,12922,22937
Saitama,7175000,51241,67726
Chiba,6143000,43404,59561
Tokyo,13340000,107150,119253
Kanagawa,8993000,66564,82336
Niigata,2230000,14509,30068
Toyama,1035000,6846,13066
Ishikawa,1130000,8359,12723
Fukui,762000,5826,9221
Yamanashi,805000,5556,9916
Nagano,2032000,14184,25422
Gifu,1956000,13720,23062
Shizuoka,3582000,25192,41972
Aichi,7323000,61230,68833
Mie,1751000,12582,20900
Shiga,1388000,11350,13246
Kyoto,2539000,17909,26654
Osaka,8639000,65446,89494
Hyogo,5394000,39713,57452
Nara,1329000,8947,14674
Wakayama,929000,6070,13062
Tottori,556000,4190,7309
Shimane,671000,4887,9724
Okayama,1877000,14485,22429
Hiroshima,2776000,21363,31346
Yamaguchi,1355000,8987,18836
Tokushima,731000,4998,10011
Kagawa,952000,6899,12169
Ehime,1342000,9330,18207
Kochi,702000,4559,10251
Fukuoka,5047000,42008,53309
Saga,813000,6535,10112
Nagasaki,1333000,10135,17714
Kumamoto,1743000,14301,21380
Oita,1132000,8200,14492
Miyazaki,1074000,8434,13981
Kagoshima,1604000,12956,22106
Okinawa,1432000,15732,12157
