region,population,births,deaths
Japan,125908000,1170662,970331
Hokkaido,5666000,46236,43642
Aomori,1471000,12889,13281
Iwate,1409000,12272,13039
Miyagi,2359000,21751,17300
Akita,1180000,8874,11872
Yamagata,1235000,10907,12063
Fukushima,2115000,20008,19013
Ibaraki,2957000,27864,23056
Tochigi,1987000,18911,15692
Gunma,1999000,19024,16141
Saitama,6909000,65417,41467
Chiba,5907000,54511,37810
Tokyo,11912000,98421,84586
Kanagawa,8466000,81839,51893
Niigata,2462000,21301,22267
Toyama,1113000,9994,9780
Ishikawa,1175000,11342,9440
Fukui,819000,7958,6850
Yamanashi,877000,8126,7528
Nagano,2186000,20889,19356
Gifu,2081000,19603,16522
Shizuoka,3722000,35193,28914
Aichi,6970000,73057,46477
Mie,1835000,17094,15052
Shiga,1333000,14015,9390
Kyoto,2601000,23364,20028
Osaka,8649000,86000,61708
Hyogo,5489000,52585,42123
Nara,1434000,12768,10432
Wakayama,1061000,9345,10297
Tottori,610000,5595,5822
Shimane,756000,6640,7666
Okayama,1940000,18797,16992
Hiroshima,2856000,27328,23431
Yamaguchi,1511000,12989,14965
Tokushima,819000,7038,7979
Kagawa,1017000,9472,9169
Ehime,1486000,13006,13985
Kochi,810000,6736,8308
Fukuoka,5001000,46985,38640
Saga,873000,8561,7815
Nagasaki,1508000,13789,13430
Kumamoto,1856000,16960,16017
Oita,1215000,10891,11054
Miyazaki,1166000,11007,10232
Kagoshima,1779000,15943,17445
Okinawa,1322000,17169,8132
