region,population,births,deaths
Japan,126008000,1153855,982379
Hokkaido,5656000,46101,44328
Aomori,1465000,12434,13446
Iwate,1403000,11862,12941
Miyagi,2359000,21474,17560
Akita,1173000,8456,12204
Yamagata,1230000,10489,12016
Fukushima,2110000,19466,18821
Ibaraki,2954000,27337,23722
Tochigi,1986000,18376,16049
Gunma,1999000,18763,16474
Saitama,6928000,64762,42662
Chiba,5929000,54607,39748
Tokyo,11980000,100118,85162
Kanagawa,8516000,81498,53300
Niigata,2455000,20221,22249
Toyama,1111000,9854,9723
Ishikawa,1174000,10886,9584
Fukui,818000,7758,6977
Yamanashi,876000,7919,7458
Nagano,2182000,20324,19603
Gifu,2079000,19617,16905
Shizuoka,3724000,35212,28894
Aichi,7000000,71823,47155
Mie,1833000,17190,15307
Shiga,1339000,13938,9286
Kyoto,2598000,22859,20320
Osaka,8649000,83883,62099
Hyogo,5496000,52314,42031
Nara,1430000,12472,10588
Wakayama,1056000,8943,10167
Tottori,609000,5365,5870
Shimane,752000,6318,7837
Okayama,1939000,18509,17041
Hiroshima,2854000,26508,23468
Yamaguchi,1506000,12578,15085
Tokushima,817000,6836,7847
Kagawa,1015000,9438,9454
Ehime,1481000,12488,14008
Kochi,808000,6513,8393
Fukuoka,5011000,46443,39414
Saga,871000,8202,7817
Nagasaki,1502000,13260,13805
Kumamoto,1853000,16839,16558
Oita,1214000,10424,11211
Miyazaki,1164000,10657,10181
Kagoshima,1775000,15755,17473
Okinawa,1332000,16571,8037
