region,population,births,deaths
Japan,125947000,1091156,1142407
Hokkaido,5517000,41074,52955
Aomori,1388000,10187,15400
Iwate,1347000,10223,15026
Miyagi,2329000,19863,20657
Akita,1105000,7421,13638
Yamagata,1182000,9164,13719
Fukushima,2043000,16908,21583
Ibaraki,2923000,24592,27466
Tochigi,1981000,17240,18437
Gunma,1975000,17044,18935
Saitama,7019000,60520,51730
Chiba,6039000,52306,47149
Tokyo,12552000,106015,98248
Kanagawa,8784000,79179,63771
Niigata,2380000,18388,24889
Toyama,1088000,8709,11635
Ishikawa,1158000,10199,11012
Fukui,801000,7139,8088
Yamanashi,857000,6908,8736
Nagano,2135000,18129,22692
Gifu,2053000,17506,19478
Shizuoka,3712000,32701,34511
Aichi,7203000,71029,56036
Mie,1828000,15633,17904
Shiga,1375000,13487,11110
Kyoto,2587000,21842,23015
Osaka,8639000,77400,72930
Hyogo,5504000,48833,49074
Nara,1395000,10981,12368
Wakayama,1007000,7866,11679
Tottori,591000,4878,6682
Shimane,720000,5685,9011
Okayama,1930000,17044,19393
Hiroshima,2836000,25560,27150
Yamaguchi,1452000,11560,16900
Tokushima,790000,5893,8882
Kagawa,996000,8600,10645
Ehime,1436000,11561,15777
Kochi,771000,5788,9452
Fukuoka,5013000,46695,45134
Saga,852000,7819,8983
Nagasaki,1434000,12173,15697
Kumamoto,1813000,16462,18951
Oita,1192000,10306,12641
Miyazaki,1133000,10292,11932
Kagoshima,1713000,15445,19943
Okinawa,1369000,16736,9492
