region,population,births,deaths
Japan,123398962,840835,1372755
Hokkaido,5188441,29523,65078
Aomori,1232227,6837,17905
Iwate,1203203,6718,17204
Miyagi,2280203,14480,24632
Akita,955659,4499,15379
Yamagata,1060586,6217,15348
Fukushima,1819085,11215,24515
Ibaraki,2801640,17389,32931
Tochigi,1891396,11808,21702
Gunma,1879820,11660,23286
Saitama,7159087,47328,70758
Chiba,6122205,40168,62118
Tokyo,13484028,99661,121219
Kanagawa,9006608,60865,84601
Niigata,2185171,12981,29455
Toyama,1017321,6256,12981
Ishikawa,1117364,7712,12721
Fukui,752018,5313,9286
Yamanashi,794358,5184,9796
Nagano,2013539,12864,25428
Gifu,1924681,12092,22720
Shizuoka,3540934,22497,42191
Aichi,7283260,55613,70518
Mie,1718708,11141,20716
Shiga,1380486,10437,13039
Kyoto,2520012,16440,26860
Osaka,8595483,61878,91644
Hyogo,5356648,36953,58654
Nara,1311730,7831,14678
Wakayama,916179,5732,12610
Tottori,548766,3783,7096
Shimane,662115,4473,9585
Okayama,1859012,13521,21788
Hiroshima,2746811,19606,30244
Yamaguchi,1326043,8203,18477
Tokushima,713716,4521,9886
Kagawa,937342,6179,12183
Ehime,1322257,8102,18036
Kochi,686982,4082,9998
Fukuoka,5055456,38966,53273
Saga,804878,6004,9963
Nagasaki,1303067,9182,17646
Kumamoto,1722005,13011,21156
Oita,1111592,7582,14444
Miyazaki,1062573,7720,14140
Kagoshima,1577022,11638,21501
Okinawa,1447245,14943,12390
