region,population,births,deaths
Japan,122780487,811622,1439856
Hokkaido,5147000,28762,69023
Aomori,1216000,6513,18785
Iwate,1189000,6472,17631
Miyagi,2269000,13761,25897
Akita,941000,4335,16019
Yamagata,1048000,5898,15753
Fukushima,1799000,10649,25559
Ibaraki,2785000,16502,33814
Tochigi,1880000,11475,22712
Gunma,1866000,11236,24304
Saitama,7152000,45424,75164
Chiba,6114000,38426,65244
Tokyo,13459000,95404,127649
Kanagawa,9007000,58836,89701
Niigata,2161000,12608,30990
Toyama,1008000,6076,13650
Ishikawa,1111000,7258,13214
Fukui,746000,5223,9721
Yamanashi,789000,4966,10107
Nagano,1999000,12514,26001
Gifu,1907000,11730,24126
Shizuoka,3515000,21571,43194
Aichi,7261000,53918,73769
Mie,1705000,10980,21639
Shiga,1377000,10130,13674
Kyoto,2505000,15818,28316
Osaka,8565000,59780,97282
Hyogo,5324000,35581,61980
Nara,1302000,7751,15573
Wakayama,907000,5514,12930
Tottori,544000,3708,7605
Shimane,655000,4415,9851
Okayama,1847000,13107,22857
Hiroshima,2729000,18636,31774
Yamaguchi,1312000,7978,19406
Tokushima,706000,4337,10465
Kagawa,930000,6223,12329
Ehime,1309000,8011,18770
Kochi,680000,4090,10423
Fukuoka,5045000,37540,56410
Saga,800000,5853,10145
Nagasaki,1288000,8862,18248
Kumamoto,1712000,12670,22093
Oita,1102000,7327,15104
Miyazaki,1054000,7590,14520
Kagoshima,1565000,11618,21979
Okinawa,1449000,14535,13582
