region,population,births,deaths
Japan,125704000,1029817,1268438
Hokkaido,5412000,38190,59432
Aomori,1333000,9126,17112
Iwate,1290000,9231,15970
Miyagi,2317000,18949,22214
Akita,1047000,6177,14824
Yamagata,1136000,8159,15029
Fukushima,1939000,14546,23611
Ibaraki,2894000,22358,30368
Tochigi,1961000,15588,20591
Gunma,1950000,14732,21661
Saitama,7134000,57470,60264
Chiba,6114000,48343,53603
Tokyo,12979000,109986,110507
Kanagawa,8956000,74320,72970
Niigata,2319000,17066,28383
Toyama,1065000,7722,12547
Ishikawa,1150000,9449,12223
Fukui,784000,6461,8764
Yamanashi,836000,6198,9441
Nagano,2095000,16326,24304
Gifu,2018000,16000,21518
Shizuoka,3668000,30260,38393
Aichi,7289000,66825,62395
Mie,1802000,14514,19690
Shiga,1397000,13015,12233
Kyoto,2576000,20106,25332
Osaka,8690000,72054,81864
Hyogo,5483000,45673,54366
Nara,1374000,10190,14029
Wakayama,975000,7122,12773
Tottori,574000,4759,7270
Shimane,697000,5534,9572
Okayama,1913000,16210,21199
Hiroshima,2809000,24713,29358
Yamaguchi,1408000,10705,18459
Tokushima,766000,5666,10014
Kagawa,979000,8059,11512
Ehime,1398000,10696,17480
Kochi,742000,5266,10244
Fukuoka,5047000,45898,49456
Saga,836000,7276,9640
Nagasaki,1391000,11566,17225
Kumamoto,1793000,15954,20237
Oita,1170000,9605,13874
Miyazaki,1116000,9854,12906
Kagoshima,1674000,14637,21162
Okinawa,1407000,17209,10956
