region,population,births,deaths
Japan,126176000,1110721,1028602
Hokkaido,5630000,44020,47335
Aomori,1448000,11554,14372
Iwate,1389000,11167,13757
Miyagi,2358000,20236,18525
Akita,1155000,7998,12705
Yamagata,1218000,9920,12642
Fukushima,2095000,18306,20015
Ibaraki,2950000,26167,24343
Tochigi,1987000,17816,16779
Gunma,1997000,17745,17267
Saitama,6967000,61946,44987
Chiba,5967000,52983,41641
Tokyo,12123000,99272,88767
Kanagawa,8613000,79441,55425
Niigata,2440000,19531,23511
Toyama,1107000,9396,10396
Ishikawa,1172000,10528,9976
Fukui,814000,7283,7449
Yamanashi,871000,7527,7842
Nagano,2175000,19323,20501
Gifu,2074000,18363,17705
Shizuoka,3725000,33628,29809
Aichi,7056000,70417,49457
Mie,1833000,16287,16030
Shiga,1351000,13627,9658
Kyoto,2596000,22066,21129
Osaka,8653000,79719,65160
Hyogo,5508000,49789,44494
Nara,1423000,11749,11124
Wakayama,1045000,8153,10600
Tottori,606000,5275,6166
Shimane,744000,6104,8212
Okayama,1938000,17655,17489
Hiroshima,2852000,25734,24435
Yamaguchi,1493000,12020,15702
Tokushima,809000,6493,8367
Kagawa,1012000,9068,9709
Ehime,1471000,12057,14664
Kochi,800000,6084,8723
Fukuoka,5025000,45143,41144
Saga,866000,7844,8214
Nagasaki,1489000,12947,14187
Kumamoto,1846000,16313,17076
Oita,1208000,10024,11733
Miyazaki,1158000,10267,10578
Kagoshima,1764000,15198,18200
Okinawa,1352000,16362,8610
