region,population,births,deaths
Japan,125252000,1203147,936484
Hokkaido,5689000,49065,41755
Aomori,1475000,13594,12752
Iwate,1414000,12778,12376
Miyagi,2346000,22312,16408
Akita,1199000,9367,11515
Yamagata,1250000,11030,11498
Fukushima,2129000,20743,18321
Ibaraki,2961000,28602,22154
Tochigi,1985000,18836,15257
Gunma,1995000,19422,15784
Saitama,6833000,67144,39382
Chiba,5832000,54961,36410
Tokyo,11639000,98960,80793
Kanagawa,8298000,83104,49462
Niigata,2484000,22661,21273
Toyama,1119000,10117,9765
Ishikawa,1179000,11642,9418
Fukui,821000,8269,6750
Yamanashi,881000,8578,7311
Nagano,2185000,21436,18668
Gifu,2089000,20447,15943
Shizuoka,3718000,35921,27178
Aichi,6870000,75206,44163
Mie,1837000,17829,15069
Shiga,1305000,14032,8952
Kyoto,2590000,24312,19868
Osaka,8639000,90324,59647
Hyogo,5383000,54421,40931
Nara,1439000,13779,10345
Wakayama,1072000,9886,10037
Tottori,612000,5624,5585
Shimane,762000,6491,7384
Okayama,1946000,19204,16340
Hiroshima,2865000,27914,22705
Yamaguchi,1532000,13275,14826
Tokushima,829000,7255,7649
Kagawa,1025000,9664,9104
Ehime,1498000,13606,13683
Kochi,810000,6761,8076
Fukuoka,4963000,47811,38018
Saga,882000,8741,7853
Nagasaki,1526000,14672,13343
Kumamoto,1862000,17443,15495
Oita,1224000,11129,10859
Miyazaki,1174000,11335,9790
Kagoshima,1788000,16227,16709
Okinawa,1295000,16928,7643
