year,region,population,births,deaths
2001,Yamagata,1235000,10907,12063
2001,Fukushima,2115000,20008,19013
2001,Ibaraki,2957000,27864,23056
2001,Tochigi,1987000,18911,15692
2001,Gunma,1999000,19024,16141
2001,Saitama,6909000,65417,41467
2001,Chiba,5907000,54511,37810
2001,Tokyo,11912000,98421,84586
2001,Kanagawa,8466000,81839,51893
2001,Niigata,2462000,21301,22267
2001,Toyama,1113000,9994,9780
2001,Ishikawa,1175000,11342,9440
2001,Fukui,819000,7958,6850
2001,Yamanashi,877000,8126,7528
2001,Nagano,2186000,20889,19356
2001,Gifu,2081000,19603,16522
2001,Shizuoka,3722000,35193,28914
2001,Aichi,6970000,73057,46477
2001,Mie,1835000,17094,15052
2001,Shiga,1333000,14015,9390
2001,Kyoto,2601000,23364,20028
2001,Osaka,8649000,86000,61708
2001,Hyogo,5489000,52585,42123
2001,Nara,1434000,12768,10432
2001,Wakayama,1061000,9345,10297
2001,Tottori,610000,5595,5822
2001,Shimane,756000,6640,7666
2001,Okayama,1940000,18797,16992
2001,Hiroshima,2856000,27328,23431
2001,Yamaguchi,1511000,12989,14965
2001,Tokushima,819000,7038,7979
2001,Kagawa,1017000,9472,9169
2001,Ehime,1486000,13006,13985
2001,Kochi,810000,6736,8308
2001,Fukuoka,5001000,46985,38640
2001,Saga,873000,8561,7815
2001,Nagasaki,1508000,13789,13430
2001,Kumamoto,1856000,16960,16017
2001,Oita,1215000,10891,11054
2001,Miyazaki,1166000,11007,10232
2001,Kagoshima,1779000,15943,17445
2001,Okinawa,1322000,17169,8132
2002,Japan,126008000,1153855,982379
2002,Hokkaido,5656000,46101,44328
2002,Aomori,1465000,12434,13446
2002,Iwate,1403000,11862,12941
2002,Miyagi,2359000,21474,17560
2002,Akita,1173000,8456,12204
2002,Yamagata,1230000,10489,12016
2002,Fukushima,2110000,19466,18821
2002,Ibaraki,2954000,27337,23722
2002,Tochigi,1986000,18376,16049
2002,Gunma,1999000,18763,16474
2002,Saitama,6928000,64762,42662
2002,Chiba,5929000,54607,39748
2002,Tokyo,11980000,100118,85162
2002,Kanagawa,8516000,81498,53300
2002,Niigata,2455000,20221,22249
2002,Toyama,1111000,9854,9723
2002,Ishikawa,1174000,10886,9584
2002,Fukui,818000,7758,6977
2002,Yamanashi,876000,7919,7458
2002,Nagano,2182000,20324,19603
2002,Gifu,2079000,19617,16905
2002,Shizuoka,3724000,35212,28894
2002,Aichi,7000000,71823,47155
2002,Mie,1833000,17190,15307
2002,Shiga,1339000,13938,9286
2002,Kyoto,2598000,22859,20320
2002,Osaka,8649000,83883,62099
2002,Hyogo,5496000,52314,42031
2002,Nara,1430000,12472,10588
2002,Wakayama,1056000,8943,10167
2002,Tottori,609000,5365,5870
2002,Shimane,752000,6318,7837
2002,Okayama,1939000,18509,17041
2002,Hiroshima,2854000,26508,23468
2002,Yamaguchi,1506000,12578,15085
2002,Tokushima,817000,6836,7847
2002,Kagawa,1015000,9438,9454
2002,Ehime,1481000,12488,14008
2002,Kochi,808000,6513,8393
2002,Fukuoka,5011000,46443,39414
2002,Saga,871000,8202,7817
2002,Nagasaki,1502000,13260,13805
2002,Kumamoto,1853000,16839,16558
2002,Oita,1214000,10424,11211
2002,Miyazaki,1164000,10657,10181
2002,Kagoshima,1775000,15755,17473
2002,Okinawa,1332000,16571,8037
2003,Japan,126139000,1123610,1014951
2003,Hokkaido,5645000,44939,46247
2003,Aomori,1458000,11723,13995
2003,Iwate,1396000,11376,13574
2003,Miyagi,2360000,20829,18151
2003,Akita,1164000,8062,12599
2003,Yamagata,1224000,10087,12402
2003,Fukushima,2103000,18824,19616
2003,Ibaraki,2953000,26523,24630
2003,Tochigi,1986000,18122,16905
2003,Gunma,2000000,18337,16935
2003,Saitama,6952000,63224,44187
2003,Chiba,5955000,52789,40579
2003,Tokyo,12059000,98534,87500
2003,Kanagawa,8570000,80262,54738
2003,Niigata,2448000,19719,23163
2003,Toyama,1109000,9362,10494
2003,Ishikawa,1173000,10906,10068
2003,Fukui,817000,7446,7243
2003,Yamanashi,873000,7720,7687
2003,Nagano,2179000,19735,19822
2003,Gifu,2078000,19156,17118
2003,Shizuoka,3726000,34061,29813
2003,Aichi,7028000,70236,48476
2003,Mie,1833000,16497,15872
2003,Shiga,1345000,13624,9801
2003,Kyoto,2597000,22371,20669
2003,Osaka,8652000,81001,64405
2003,Hyogo,5504000,50520,43850
2003,Nara,1428000,12137,10795
2003,Wakayama,1051000,8561,10404
2003,Tottori,607000,5473,6075
2003,Shimane,749000,6092,8050
2003,Okayama,1940000,17770,17661
2003,Hiroshima,2854000,26285,24290
2003,Yamaguchi,1500000,12166,15310
2003,Tokushima,813000,6556,8335
2003,Kagawa,1014000,9123,9556
2003,Ehime,1477000,12534,14715
2003,Kochi,804000,6244,8493
2003,Fukuoka,5018000,45035,40770
2003,Saga,869000,7898,8146
2003,Nagasaki,1496000,12971,14152
2003,Kumamoto,1849000,16339,17069
2003,Oita,1211000,10213,11555
2003,Miyazaki,1161000,10220,10641
2003,Kagoshima,1770000,15535,17800
2003,Okinawa,1342000,16303,8433
2004,Japan,126176000,1110721,1028602
2004,Hokkaido,5630000,44020,47335
2004,Aomori,1448000,11554,14372
2004,Iwate,1389000,11167,13757
2004,Miyagi,2358000,20236,18525
2004,Akita,1155000,7998,12705
2004,Yamagata,1218000,9920,12642
2004,Fukushima,2095000,18306,20015
2004,Ibaraki,2950000,26167,24343
2004,Tochigi,1987000,17816,16779
2004,Gunma,1997000,17745,17267
