region,population,births,deaths
Japan,122030523,770759,1569050
Hokkaido,5098000,26407,74437
Aomori,1198000,5985,20117
Iwate,1173000,5788,19342
Miyagi,2256000,12852,28040
Akita,926000,3992,17256
Yamagata,1033000,5674,16883
Fukushima,1776000,9709,27394
Ibaraki,2767000,15905,37256
Tochigi,1865000,10518,24992
Gunma,1850000,10688,26589
Saitama,7136000,43451,82221
Chiba,6100000,36966,72258
Tokyo,13443000,91097,139264
Kanagawa,8991000,56498,98821
Niigata,2136000,11732,32313
Toyama,998000,6022,15052
Ishikawa,1102000,7075,14316
Fukui,738000,4861,10519
Yamanashi,784000,4759,11090
Nagano,1984000,12143,28503
Gifu,1888000,11124,26175
Shizuoka,3484000,20575,47334
Aichi,7228000,51152,81183
Mie,1689000,10489,23341
Shiga,1373000,9766,15043
Kyoto,2485000,15068,31491
Osaka,8524000,57315,106277
Hyogo,5287000,33565,66541
Nara,1291000,7315,17166
Wakayama,896000,5238,14308
Tottori,539000,3752,8031
Shimane,648000,4161,10434
Okayama,1832000,12371,24901
Hiroshima,2708000,17903,34940
Yamaguchi,1297000,7762,20687
Tokushima,698000,4148,10968
Kagawa,920000,5802,13552
Ehime,1294000,7572,19993
Kochi,671000,3721,11472
Fukuoka,5030000,35970,61302
Saga,793000,5552,11204
Nagasaki,1272000,8364,19309
Kumamoto,1699000,11875,24427
Oita,1092000,6798,16266
Miyazaki,1044000,7136,16111
Kagoshima,1550000,10540,23925
Okinawa,1446000,13594,15054
