region,population,births,deaths
Japan,123731176,865239,1381093
Hokkaido,5211000,31020,65498
Aomori,1240000,7170,18424
Iwate,1219000,6974,17826
Miyagi,2283000,14947,25202
Akita,963000,4696,15784
Yamagata,1070000,6401,15719
Fukushima,1831000,11552,25004
Ibaraki,2810000,18004,33440
Tochigi,1906000,12608,22138
Gunma,1886000,11901,23254
Saitama,7174000,48298,69537
Chiba,6141000,40799,62004
Tokyo,13405000,101818,120870
Kanagawa,8997000,63035,83968
Niigata,2206000,13640,30572
Toyama,1026000,6604,13207
Ishikawa,1123000,7808,12900
Fukui,756000,5307,9593
Yamanashi,798000,5193,10083
Nagano,2016000,13553,26041
Gifu,1940000,12776,23417
Shizuoka,3557000,23457,42190
Aichi,7316000,57145,69932
Mie,1736000,11690,20811
Shiga,1385000,10627,13221
Kyoto,2527000,16993,27028
Osaka,8623000,62557,90410
Hyogo,5369000,38043,57938
Nara,1319000,8323,14660
Wakayama,918000,5869,12837
Tottori,551000,3988,7605
Shimane,665000,4594,9710
Okayama,1866000,13695,21944
Hiroshima,2761000,20034,31237
Yamaguchi,1340000,8771,19081
Tokushima,723000,4554,10126
Kagawa,945000,6631,12148
Ehime,1328000,8446,18281
Kochi,693000,4270,10317
Fukuoka,5039000,39754,54099
Saga,808000,6231,9967
Nagasaki,1318000,9585,17612
Kumamoto,1731000,13305,21670
Oita,1123000,7624,14614
Miyazaki,1065000,8043,13788
Kagoshima,1589000,11977,21834
Okinawa,1434000,14902,12509
