region,population,births,deaths
Japan,126139000,1123610,1014951
Hokkaido,5645000,44939,46247
Aomori,1458000,11723,13995
Iwate,1396000,11376,13574
Miyagi,2360000,20829,18151
Akita,1164000,8062,12599
Yamagata,1224000,10087,12402
Fukushima,2103000,18824,19616
Ibaraki,2953000,26523,24630
Tochigi,1986000,18122,16905
Gunma,2000000,18337,16935
Saitama,6952000,63224,44187
Chiba,5955000,52789,40579
Tokyo,12059000,98534,87500
Kanagawa,8570000,80262,54738
Niigata,2448000,19719,23163
Toyama,1109000,9362,10494
Ishikawa,1173000,10906,10068
Fukui,817000,7446,7243
Yamanashi,873000,7720,7687
Nagano,2179000,19735,19822
Gifu,2078000,19156,17118
Shizuoka,3726000,34061,29813
Aichi,7028000,70236,48476
Mie,1833000,16497,15872
Shiga,1345000,13624,9801
Kyoto,2597000,22371,20669
Osaka,8652000,81001,64405
Hyogo,5504000,50520,43850
Nara,1428000,12137,10795
Wakayama,1051000,8561,10404
Tottori,607000,5473,6075
Shimane,749000,6092,8050
Okayama,1940000,17770,17661
Hiroshima,2854000,26285,24290
Yamaguchi,1500000,12166,15310
Tokushima,813000,6556,8335
Kagawa,1014000,9123,9556
Ehime,1477000,12534,14715
Kochi,804000,6244,8493
Fukuoka,5018000,45035,40770
Saga,869000,7898,8146
Nagasaki,1496000,12971,14152
Kumamoto,1849000,16339,17069
Oita,1211000,10213,11555
Miyazaki,1161000,10220,10641
Kagoshima,1770000,15535,17800
Okinawa,1342000,16303,8433
