region,population,births,deaths
Japan,125957000,1037232,1256359
Hokkaido,5442000,38686,58066
Aomori,1347000,9168,17294
Iwate,1299000,9277,16072
Miyagi,2315000,18707,22101
Akita,1060000,6543,14856
Yamagata,1146000,8212,14752
Fukushima,1955000,13770,23418
Ibaraki,2907000,22896,30009
Tochigi,1968000,15973,20784
Gunma,1959000,14914,21169
Saitama,7126000,56943,59137
Chiba,6119000,48881,53206
Tokyo,12916000,107401,109194
Kanagawa,8947000,75477,71996
Niigata,2336000,17476,28083
Toyama,1072000,7880,12754
Ishikawa,1154000,9544,12223
Fukui,789000,6712,8795
Yamanashi,841000,6336,9555
Nagano,2106000,16661,24474
Gifu,2029000,16496,21531
Shizuoka,3683000,30810,38194
Aichi,7277000,67913,61354
Mie,1811000,14729,19210
Shiga,1396000,13236,12221
Kyoto,2584000,20111,25416
Osaka,8697000,73012,80472
Hyogo,5496000,46436,53657
Nara,1381000,10565,13656
Wakayama,983000,7424,12435
Tottori,578000,4771,7074
Shimane,702000,5585,9513
Okayama,1919000,16279,21181
Hiroshima,2817000,24846,29273
Yamaguchi,1420000,10797,18231
Tokushima,772000,5744,9781
Kagawa,982000,8161,11369
Ehime,1408000,11130,17216
Kochi,749000,5266,10142
Fukuoka,5044000,45815,48957
Saga,840000,7440,9676
Nagasaki,1402000,11723,16784
Kumamoto,1799000,15996,20565
Oita,1178000,9650,14050
Miyazaki,1122000,9858,13051
Kagoshima,1684000,14841,21281
Okinawa,1401000,17074,10626
