region,population,births,deaths
Japan,125020252,977242,1308158
Hokkaido,5327000,35129,61920
Aomori,1290000,8626,17309
Iwate,1263000,8342,16959
Miyagi,2314000,17399,23523
Akita,1007000,5666,15244
Yamagata,1107000,7547,15181
Fukushima,1891000,13745,24166
Ibaraki,2861000,20878,31414
Tochigi,1939000,14621,21436
Gunma,1926000,13661,22127
Saitama,7169000,54452,63470
Chiba,6137000,45389,56398
Tokyo,13207000,111964,113415
Kanagawa,8986000,70649,77363
Niigata,2273000,15737,28822
Toyama,1049000,7302,12864
Ishikawa,1140000,8928,12422
Fukui,772000,6114,9228
Yamanashi,818000,5819,9565
Nagano,2060000,15171,25114
Gifu,1985000,14831,22474
Shizuoka,3623000,27654,39297
Aichi,7324000,64231,65227
Mie,1775000,13376,20098
Shiga,1392000,12073,12507
Kyoto,2559000,19327,25830
Osaka,8672000,68817,84391
Hyogo,5438000,43379,55422
Nara,1347000,9430,14054
Wakayama,949000,6659,12620
Tottori,566000,4436,7357
Shimane,684000,5300,9562
Okayama,1896000,15477,21532
Hiroshima,2799000,22736,29994
Yamaguchi,1381000,9844,18366
Tokushima,746000,5346,9855
Kagawa,964000,7510,11908
Ehime,1366000,9911,17734
Kochi,718000,4779,10305
Fukuoka,5054000,44036,51011
Saga,824000,6811,9725
Nagasaki,1358000,10886,17071
Kumamoto,1765000,14896,21379
Oita,1150000,9059,14264
Miyazaki,1092000,8929,13702
Kagoshima,1630000,13688,21610
Okinawa,1427000,16617,11706
