region,population,births,deaths
Japan,126180000,1050807,1253068
Hokkaido,5467000,39292,56970
Aomori,1360000,9532,16419
Iwate,1309000,9310,22335
Miyagi,2315000,18062,33975
Akita,1072000,6658,14642
Yamagata,1156000,8555,14880
Fukushima,1981000,15072,26106
Ibaraki,2919000,23219,29910
Tochigi,1975000,15913,20469
Gunma,1966000,15637,20930
Saitama,7117000,58059,57670
Chiba,6135000,50379,51689
Tokyo,12869000,106027,105723
Kanagawa,8934000,76000,70946
Niigata,2351000,17667,27320
Toyama,1077000,7823,12264
Ishikawa,1157000,9555,11962
Fukui,793000,6728,8757
Yamanashi,846000,6412,9358
Nagano,2115000,16917,23887
Gifu,2037000,16851,21054
Shizuoka,3694000,31172,37303
Aichi,7262000,68973,59720
Mie,1816000,15080,19271
Shiga,1394000,13338,11884
Kyoto,2590000,20707,24733
Osaka,8699000,73919,78952
Hyogo,5505000,47351,52259
Nara,1387000,10400,13267
Wakayama,990000,7460,12310
Tottori,582000,4931,6958
Shimane,708000,5582,9412
Okayama,1922000,16635,20407
Hiroshima,2824000,25469,28608
Yamaguchi,1431000,11222,17884
Tokushima,776000,5914,9435
Kagawa,985000,8311,11316
Ehime,1416000,11329,16950
Kochi,755000,5244,9884
Fukuoka,5038000,46220,48112
Saga,843000,7613,9472
Nagasaki,1411000,11727,16645
Kumamoto,1805000,16118,20008
Oita,1183000,9988,13806
Miyazaki,1127000,10152,12980
Kagoshima,1693000,15244,21047
Okinawa,1393000,16918,10686
