region,population,births,deaths
Japan,126154000,1092674,1084451
Hokkaido,5585000,42204,50229
Aomori,1419000,10556,14733
Iwate,1370000,10556,14552
Miyagi,2343000,19706,19796
Akita,1130000,7726,13558
Yamagata,1201000,9513,13231
Fukushima,2070000,17541,20528
Ibaraki,2934000,25128,26061
Tochigi,1988000,17647,17947
Gunma,1985000,17061,18061
Saitama,6989000,61201,48579
Chiba,5999000,51762,44778
Tokyo,12405000,101674,93596
Kanagawa,8710000,79118,58898
Niigata,2408000,18985,23939
Toyama,1098000,8965,10963
Ishikawa,1163000,10235,10294
Fukui,808000,7324,7725
Yamanashi,867000,7094,8380
Nagano,2154000,18775,21117
Gifu,2064000,18092,18638
Shizuoka,3719000,32905,32001
Aichi,7136000,69999,52294
Mie,1832000,15816,17156
Shiga,1363000,13448,10507
Kyoto,2598000,22100,22419
Osaka,8642000,77641,69007
Hyogo,5506000,48771,46476
Nara,1407000,11476,11684
Wakayama,1023000,7930,11031
Tottori,600000,5186,6328
Shimane,732000,6011,8453
Okayama,1938000,17279,18317
Hiroshima,2846000,25330,25722
Yamaguchi,1471000,11692,16415
Tokushima,801000,6257,8721
Kagawa,1003000,8664,10241
Ehime,1453000,11752,15335
Kochi,787000,6015,8927
Fukuoka,5015000,45304,43270
Saga,859000,7647,8447
Nagasaki,1461000,12410,14941
Kumamoto,1829000,16189,18084
Oita,1199000,10156,12092
Miyazaki,1145000,10094,11138
Kagoshima,1738000,15080,18828
Okinawa,1361000,16483,9121
