region,population,births,deaths
Japan,125820000,1070036,1141865
Hokkaido,5489000,40165,53221
Aomori,1375000,9524,15387
Iwate,1335000,9904,15410
Miyagi,2324000,18988,20808
Akita,1093000,7013,13866
Yamagata,1173000,8715,13729
Fukushima,2030000,16326,21568
Ibaraki,2920000,24209,27807
Tochigi,1977000,17004,18777
Gunma,1970000,16310,19421
Saitama,7041000,59725,52374
Chiba,6060000,51839,47819
Tokyo,12596000,106613,98304
Kanagawa,8815000,78057,63745
Niigata,2367000,17948,25148
Toyama,1082000,8426,11480
Ishikawa,1156000,9849,11246
Fukui,798000,7042,8187
Yamanashi,853000,6621,8586
Nagano,2126000,17310,22130
Gifu,2044000,17327,19402
Shizuoka,3705000,31901,34209
Aichi,7220000,69768,55189
Mie,1823000,15614,17590
Shiga,1378000,13151,11036
Kyoto,2581000,21058,23191
Osaka,8638000,75250,73135
Hyogo,5503000,47592,48864
Nara,1391000,10758,12139
Wakayama,1000000,7516,11736
Tottori,587000,4876,6636
Shimane,715000,5601,8854
Okayama,1924000,16387,18948
Hiroshima,2831000,25596,26992
Yamaguchi,1444000,11312,16995
Tokushima,785000,5898,8719
Kagawa,992000,8366,10639
Ehime,1429000,11507,15670
Kochi,764000,5415,9437
Fukuoka,5014000,46084,44879
Saga,849000,7518,8831
Nagasaki,1424000,11838,15491
Kumamoto,1806000,16221,18505
Oita,1187000,9961,12528
Miyazaki,1129000,10170,11959
Kagoshima,1703000,14920,19498
Okinawa,1375000,16744,9923
