region,population,births,deaths
Japan,125612633,1190547,961653
Hokkaido,5670558,46780,43407
Aomori,1472690,12920,13147
Iwate,1412338,12410,12517
Miyagi,2354916,22154,17127
Akita,1186209,9007,12026
Yamagata,1239132,10919,11842
Fukushima,2118100,20332,18642
Ibaraki,2954817,28220,22877
Tochigi,1983723,18976,15613
Gunma,1996251,19445,16144
Saitama,6875484,66376,40486
Chiba,5868599,55318,37238
Tokyo,11850305,100209,83849
Kanagawa,8390552,82906,50539
Niigata,2466374,21886,21835
Toyama,1113787,10170,9734
Ishikawa,1174630,11467,9391
Fukui,819080,8036,6931
Yamanashi,877168,8374,7297
Nagano,2181873,21194,19320
Gifu,2081092,20276,16577
Shizuoka,3714992,35794,28323
Aichi,6932577,74736,45810
Mie,1833408,17726,15292
Shiga,1324040,14087,9232
Kyoto,2599052,23997,20233
Osaka,8633901,88163,61315
Hyogo,5467653,54455,41724
Nara,1434340,13270,10362
Wakayama,1065104,9566,10225
Tottori,610224,5645,5935
Shimane,757072,6522,7700
Okayama,1938268,19059,16907
Hiroshima,2855782,27384,23188
Yamaguchi,1515291,13121,15126
Tokushima,821369,7224,7940
Kagawa,1017973,9808,9433
Ehime,1488550,13207,13757
Kochi,811516,6811,8306
Fukuoka,4984938,47290,38505
Saga,874068,8745,7899
Nagasaki,1511864,14098,13519
Kumamoto,1854933,17262,15973
Oita,1216436,10910,11289
Miyazaki,1167555,11037,9906
Kagoshima,1782567,16272,16993
Okinawa,1311482,16773,7946
