region,population,births,deaths
Japan,125319299,1005721,1290510
Hokkaido,5360032,36696,60667
Aomori,1304813,8621,17148
Iwate,1274574,8814,16502
Miyagi,2319616,18023,23121
Akita,1020199,5861,14794
Yamagata,1118381,7831,14960
Fukushima,1905278,14195,24205
Ibaraki,2875434,21700,31025
Tochigi,1947505,15306,20519
Gunma,1935898,14256,21519
Saitama,7160471,56078,62566
Chiba,6130930,47019,56080
Tokyo,13131172,113194,111673
Kanagawa,8979438,73476,75765
Niigata,2292676,16340,28297
Toyama,1055528,7567,12731
Ishikawa,1144626,9072,12280
Fukui,777192,6230,8971
Yamanashi,823723,5988,9637
Nagano,2072135,15639,24536
Gifu,1996303,15467,21999
Shizuoka,3640343,28352,39518
Aichi,7315314,65615,64061
Mie,1784379,13950,20139
Shiga,1392890,12622,12507
Kyoto,2565573,19663,25495
Osaka,8683865,70596,83577
Hyogo,5456154,44016,55391
Nara,1355570,9832,13920
Wakayama,958901,7030,12549
Tottori,570037,4624,7271
Shimane,688953,5551,9604
Okayama,1903981,15599,21525
Hiroshima,2808773,23679,29880
Yamaguchi,1393199,10360,18211
Tokushima,751830,5586,9847
Kagawa,969270,7719,11593
Ehime,1377071,10146,17585
Kochi,725032,5052,10020
Fukuoka,5053500,45236,50262
Saga,828944,7064,9702
Nagasaki,1369432,11020,16855
Kumamoto,1777726,15577,20692
Oita,1157581,9113,13958
Miyazaki,1100364,9226,13494
Kagoshima,1642281,14125,21354
Okinawa,1422412,16942,11326
