region,population,births,deaths
Japan,125432000,1177669,982031
Hokkaido,5684000,46680,44414
Aomori,1473000,13146,13445
Iwate,1411000,12420,13364
Miyagi,2350000,21886,17594
Akita,1194000,9168,12142
Yamagata,1246000,10815,12310
Fukushima,2128000,20497,19215
Ibaraki,2967000,28261,23373
Tochigi,1989000,18485,15851
Gunma,1999000,19111,16683
Saitama,6866000,65711,41067
Chiba,5862000,54005,38278
Tokyo,11641000,97959,85427
Kanagawa,8349000,81792,51440
Niigata,2480000,21812,22565
Toyama,1118000,10139,10213
Ishikawa,1180000,11290,9867
Fukui,821000,8053,7014
Yamanashi,882000,8318,7581
Nagano,2187000,20765,19471
Gifu,2091000,20151,16880
Shizuoka,3723000,35395,28753
Aichi,6903000,73738,45878
Mie,1839000,17375,15232
Shiga,1315000,14040,9423
Kyoto,2590000,23831,20690
Osaka,8641000,88385,61724
Hyogo,5407000,53765,41965
Nara,1441000,13158,10569
Wakayama,1070000,9563,10185
Tottori,612000,5352,5851
Shimane,760000,6394,8204
Okayama,1947000,18771,17414
Hiroshima,2863000,27119,23735
Yamaguchi,1528000,13138,15468
Tokushima,827000,7135,8046
Kagawa,1025000,9651,9325
Ehime,1493000,13046,14295
Kochi,808000,6649,8648
Fukuoka,4974000,46682,39905
Saga,881000,8551,7912
Nagasaki,1521000,14121,13882
Kumamoto,1862000,17109,16810
Oita,1222000,10714,11438
Miyazaki,1174000,10938,10141
Kagoshima,1786000,15663,18060
Okinawa,1306000,16680,7880
